timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:09:21.683, 63 %, 5771 MiB
2024/12/17 16:09:22.684, 0 %, 5771 MiB
2024/12/17 16:09:23.684, 66 %, 5771 MiB
2024/12/17 16:09:24.684, 0 %, 5771 MiB
2024/12/17 16:09:25.685, 80 %, 5771 MiB
2024/12/17 16:09:26.685, 0 %, 5771 MiB
2024/12/17 16:09:27.685, 85 %, 5771 MiB
2024/12/17 16:09:28.686, 0 %, 5771 MiB
2024/12/17 16:09:29.686, 100 %, 5771 MiB
2024/12/17 16:09:30.686, 0 %, 5771 MiB
2024/12/17 16:09:31.687, 100 %, 5771 MiB
2024/12/17 16:09:32.687, 0 %, 5771 MiB
2024/12/17 16:09:33.687, 100 %, 5771 MiB
2024/12/17 16:09:34.688, 0 %, 5771 MiB
2024/12/17 16:09:35.688, 100 %, 5771 MiB
2024/12/17 16:09:36.688, 0 %, 5771 MiB
